popularity,vote_count,video,poster_path,id,adult,backdrop_path,original_language,original_title,genre_ids,title,vote_average,overview,release_date
15.729,1599,False,/gWYfUEkExdr0SLY5L2mjnhKgE4C.jpg,1370,False,/51P7TrAJIIfrwyPwpswui42zQLq.jpg,en,Rambo III,"[28, 12, 53, 10752]",Rambo III,6.0,"Combat has taken its toll on Rambo, but he's finally begun to find inner peace in a monastery. When Rambo's friend and mentor Col. Trautman asks for his help on a top secret mission to Afghanistan, Rambo declines but must reconsider when Trautman is captured.",1988-05-24
15.712,1851,False,/seqLrPNbWJdcX6PeEhBNkmxjz6h.jpg,429197,False,/n49difnnZ8e0CZTvulnMRoURdQj.jpg,en,Vice,"[18, 36, 35]",Vice,7.1,"George W. Bush picks Dick Cheney, the CEO of Halliburton Co., to be his Republican running mate in the 2000 presidential election. No stranger to politics, Cheney's impressive résumé includes stints as White House chief of staff, House Minority Whip and defense secretary. When Bush wins by a narrow margin, Cheney begins to use his newfound power to help reshape the country and the world.",2018-12-25
15.593,1461,False,/tLryx0x9TDV5rifA9W8yUvDZFHB.jpg,533,False,/v45E1vDhPp2hc1dEZx5KZuRsSxX.jpg,en,Wallace & Gromit: The Curse of the Were-Rabbit,"[12, 16, 35, 10751]",Wallace & Gromit: The Curse of the Were-Rabbit,6.9,"Cheese-loving eccentric Wallace and his cunning canine pal, Gromit, investigate a mystery in Nick Park's animated adventure, in which the lovable inventor and his intrepid pup run a business ridding the town of garden pests. Using only humane methods that turn their home into a halfway house for evicted vermin, the pair stumble upon a mystery involving a voracious vegetarian monster that threatens to ruin the annual veggie-growing contest.",2005-09-04
15.266,2491,False,/oeZh7yEz3PMnZLgBPhrafFHRbVz.jpg,504172,False,/h51DdjaDD2aPu1fLHsmpJaaJinS.jpg,en,The Mule,"[80, 18, 53]",The Mule,6.7,"Earl Stone, a man in his eighties, is broke, alone, and facing foreclosure of his business when he is offered a job that simply requires him to drive. Easy enough, but, unbeknownst to Earl, he's just signed on as a drug courier for a Mexican cartel. He does so well that his cargo increases exponentially, and Earl hit the radar of hard-charging DEA agent Colin Bates.",2018-12-14
15.219,2241,False,/wD34ls2faCrj8YvFViEaPfBtBEe.jpg,9837,False,/1yB6o6L5DLteeraLhz5Q0buBm6i.jpg,en,The Prince of Egypt,"[12, 16, 35, 18, 10402, 10751]",The Prince of Egypt,7.1,"This is the extraordinary tale of two brothers named Moses and Ramses, one born of royal blood, and one an orphan with a secret past. Growing up the best of friends, they share a strong bond of free-spirited youth and good-natured rivalry. But the truth will ultimately set them at odds, as one becomes the ruler of the most powerful empire on earth, and the other the chosen leader of his people! Their final confrontation will forever change their lives and the world.",1998-12-15
15.179,2087,False,/8Ls1tZ6qjGzfGHjBB7ihOnf7f0b.jpg,522681,False,/mWLljCmpqlcYQh7uh51BBMwCZwN.jpg,en,Escape Room,"[28, 9648, 53]",Escape Room,6.4,"Six strangers find themselves in circumstances beyond their control, and must use their wits to survive.",2019-01-03
14.979,3146,False,/eTMrHEhlFPHNxpqGwpGGTdAa0xV.jpg,414,False,/gVTTtYgKIBurNvkGiGC6735b8y.jpg,en,Batman Forever,"[28, 80, 14]",Batman Forever,5.3,"The Dark Knight of Gotham City confronts a dastardly duo: Two-Face and the Riddler. Formerly District Attorney Harvey Dent, Two-Face believes Batman caused the courtroom accident which left him disfigured on one side. And Edward Nygma, computer-genius and former employee of millionaire Bruce Wayne, is out to get the philanthropist; as The Riddler. Former circus acrobat Dick Grayson, his family killed by Two-Face, becomes Wayne's ward and Batman's new partner Robin.",1995-06-16
14.908,3176,False,/tviJ68Wj4glQk3CPMvdvExYHxX.jpg,935,False,/8Sh5rRcOrBy4AIm3keZ50dOIn4D.jpg,en,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,"[35, 18, 10752]",Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.2,"After the insane General Jack D. Ripper initiates a nuclear strike on the Soviet Union, a war room full of politicians, generals and a Russian diplomat all frantically try to stop the nuclear strike.",1964-01-29
14.885,3222,False,/fFcZqnWDeQsImDAAIyAimc3SGEl.jpg,11253,False,/c1PkxFxNdGhesu6hljDiK2zcF6c.jpg,en,Hellboy II: The Golden Army,"[14, 27]",Hellboy II: The Golden Army,6.7,"An evil elf breaks an ancient pact between humans and creatures, and is on a mission to release 'The Golden Army', a deadly group of fighting machines that can destroy the human race. As Hell on Earth is ready to erupt, Hellboy and his crew set out to defeat prince and his army.",2008-07-11
14.797,2373,False,/aIYsjQM0piKc0ibPBCTWv3sqshj.jpg,484247,False,/nb1s8r6MhDcPyMjx3sjw9rFsEP5.jpg,en,A Simple Favor,"[35, 80]",A Simple Favor,6.6,"Stephanie, a dedicated mother and popular vlogger, befriends Emily, a mysterious upper-class woman whose son Nicky attends the same school as Miles, Stephanie's son. When Emily asks her to pick Nicky up from school and then disappears, Stephanie undertakes an investigation that will dive deep into Emily's cloudy past.",2018-08-29
14.685,1937,False,/1XxL4LJ5WHdrcYcihEZUCgNCpAW.jpg,455207,False,/zeHB7aP46Xs3u4aFLuAq2GFeUGb.jpg,en,Crazy Rich Asians,"[35, 18, 10749]",Crazy Rich Asians,7.1,"An American-born Chinese economics professor accompanies her boyfriend to Singapore for his best friend's wedding, only to get thrust into the lives of Asia's rich and famous.",2018-08-15
14.508,1102,False,/6LELf4ZzVBJwR9mNq86Mf5QVERS.jpg,14411,False,/2lKUGOdK88w6G80giTqlnJKDetN.jpg,en,Sinbad: Legend of the Seven Seas,"[12, 16, 35, 10751]",Sinbad: Legend of the Seven Seas,6.8,"The sailor of legend is framed by the goddess Eris for the theft of the Book of Peace, and must travel to her realm at the end of the world to retrieve it and save the life of his childhood friend Prince Proteus.",2003-07-02
14.501,2078,False,/kqA1pt9ovovArgJZi2Lu4Unf6He.jpg,805,False,/3THF7D3uPqhV6k7iKsr2EyjqVPK.jpg,en,Rosemary's Baby,"[18, 27, 9648]",Rosemary's Baby,7.8,A young couple moves into an infamous New York apartment building to start a family. Things become frightening as Rosemary begins to suspect her unborn baby isn’t safe around their strange neighbors.,1968-06-12
14.496,1850,False,/56rS3ipzekH2VlHpnH8VOTkKjwR.jpg,210860,False,/wNnuYx5tMiVEnru3zJS85kSzzRs.jpg,en,Mortdecai,"[12, 35]",Mortdecai,5.4,"Art dealer, Charles Mortdecai, searches for a stolen painting rumored to contain a secret code that gains access to hidden Nazi gold.",2015-01-21
14.361,1181,False,/uxp6rHVBzUqZCyTaUI8xzUP5sOf.jpg,109091,False,/aWqyoI3u1PigWrXAMyeX568vTXW.jpg,en,The Counselor,"[53, 80, 18]",The Counselor,5.1,A lawyer finds himself in far over his head when he attempts to get involved in drug trafficking.,2013-10-25
14.35,1359,False,/ktPbjD6nYg5NxmeTt72Iqaw5GD0.jpg,398181,False,/h4Lk8Cgfvlzz0hcnSJBTAOwNDia.jpg,en,You Were Never Really Here,"[18, 53]",You Were Never Really Here,6.6,"A traumatised veteran, unafraid of violence, tracks down missing girls for a living. When a job spins out of control, Joe's nightmares overtake him as a conspiracy is uncovered leading to what may be his death trip or his awakening.",2017-11-08
14.33,1129,False,/rHR3Z5QWzODnoI2GeYtEIHiz1R8.jpg,398173,False,/ff6ujDT1Qt2H4lzWhLtK71W8Om6.jpg,en,The House That Jack Built,"[80, 18, 27, 53]",The House That Jack Built,7.2,"Failed architect, engineer and vicious murderer Jack narrates the details of some of his most elaborately orchestrated crimes, each of them a towering piece of art that defines his life's work as a serial killer for twelve years.",2018-10-04
14.017,1439,False,/l76Rgp32z2UxjULApxGXAPpYdAP.jpg,438799,False,/sHNC8hjAu4ZKXYhG3cp8ghRZ02B.jpg,en,Overlord,"[27, 878, 10752]",Overlord,6.6,"France, June 1944. On the eve of D-Day, some American paratroopers fall behind enemy lines after their aircraft crashes while on a mission to destroy a radio tower in a small village near the beaches of Normandy. After reaching their target, the surviving paratroopers realise that, in addition to fighting the Nazi troops that patrol the village, they also must fight against something else.",2018-11-01
13.962,3391,False,/f1gMw3PVicfdq9thlvUIjJ5UdvS.jpg,509,False,/hkiXk6HIcmiw1Zz55cq9o5l4hE3.jpg,en,Notting Hill,"[35, 18, 10749]",Notting Hill,7.2,"William Thacker is a London bookstore owner whose humdrum existence is thrown into romantic turmoil when famous American actress Anna Scott appears in his shop. A chance encounter over spilled orange juice leads to a kiss that blossoms into a full-blown affair. As the average bloke and glamorous movie star draw closer and closer together, they struggle to reconcile their radically different lifestyles in the name of love.",1999-05-13
13.945,2249,False,/oCdPDusnJvIZN6OpaF2Yj7211w.jpg,11619,False,/7gvhqD2l8T6qKlD0ec4nysh077y.jpg,en,Flushed Away,"[12, 16, 35, 10751]",Flushed Away,6.1,"London high-society mouse, Roddy is flushed down the toilet by Sid, a common sewer rat. Hang on for a madcap adventure deep in the sewer bowels of Ratropolis, where Roddy meets the resourceful Rita, the rodent-hating Toad and his faithful thugs, Spike and Whitey.",2006-10-22
